scenario,county_slug,capex_pv,capex_storage,capex_electric,capex_gas,annual_bill_electric,annual_bill_gas,vehicle_om
full_electric_ev_coopt,san-francisco,569.1811607246749,0.0,8658.491241331541,0.0,3108.4818427517325,0.0,2161.56
baseline_ice_car,san-joaquin,954.2987620110222,2165.000678414255,0.0,6026.715128251622,682.8310651588865,1335.501907523898,5221.237113402062
full_electric_ev,san-joaquin,1885.9435474757886,2165.000678414255,8818.34672516497,0.0,1449.2676561418589,0.0,2161.56
full_electric_ev_coopt,san-joaquin,501.2192310859078,0.0,8818.34672516497,0.0,3015.6061222679523,0.0,2161.56
baseline_ice_car,san-luis-obispo,923.1495442599205,2165.000678414255,0.0,6026.715128251622,661.7295209194091,548.9949413040014,5438.474226804125
full_electric_ev,san-luis-obispo,1645.2450466718215,2165.000678414255,8127.496987621297,0.0,1126.304892370058,0.0,2161.56
full_electric_ev_coopt,san-luis-obispo,543.6954371101373,0.0,8127.496987621297,0.0,2809.6821233810883,0.0,2161.56
baseline_ice_car,san-mateo,988.2797268304057,2165.000678414255,0.0,6026.715128251622,649.3919698963492,1360.4650854072888,5379.092783505155
full_electric_ev,san-mateo,1979.3912007290935,2165.000678414255,8633.393288071136,0.0,1386.3028008704714,0.0,2161.56
full_electric_ev_coopt,san-mateo,532.3684488370094,0.0,8633.393288071136,0.0,3009.459150444144,0.0,2161.56
baseline_ice_car,santa-barbara,917.4860501233566,2165.000678414255,0.0,6026.715128251622,630.8939291535453,783.7744316878197,5245.9793814433
full_electric_ev,santa-barbara,1659.4037820132314,2165.000678414255,8074.530962719285,0.0,1162.7416362785327,0.0,2161.56
full_electric_ev_coopt,santa-barbara,504.05097815418975,0.0,8074.530962719285,0.0,2646.863233315886,0.0,2161.56
baseline_ice_car,santa-clara,1005.2702092400975,2165.000678414255,0.0,6026.715128251622,683.387915108714,1154.24584659965,5275.175257731959
full_electric_ev,santa-clara,1863.2895709295328,2165.000678414255,8740.893205115892,0.0,1361.551072662971,0.0,2161.56
full_electric_ev_coopt,santa-clara,552.1906783149832,0.0,8740.893205115892,0.0,2927.8776318976834,0.0,2161.56
baseline_ice_car,santa-cruz,976.9527385572778,2165.000678414255,0.0,6026.715128251622,656.531797345456,1436.894712365745,5323.175257731959
full_electric_ev,santa-cruz,1976.5594536608114,2165.000678414255,8421.366692418529,0.0,1412.897902543888,0.0,2161.56
full_electric_ev_coopt,santa-cruz,566.3494136563929,0.0,8421.366692418529,0.0,3036.710111564202,0.0,2161.56
